id,data_type,data
283,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97524&attachNo=78426
287,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97517&attachNo=78421
287,image,https://www.skku.edu/_attach/image/2022/05/dRamruIBoauMUbppYLGB.jpg
288,image,https://www.skku.edu/_attach/image/2022/05/jETOgctxUbcYDxISKWCA.png
290,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97509&attachNo=78412
290,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97509&attachNo=78413
290,image,https://www.skku.edu/_attach/image/2022/05/qNgQFfYZdYwdIwIShqWC.jpg
292,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97493&attachNo=78399
293,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97482&attachNo=78395
293,image,https://www.skku.edu/_attach/image/2022/05/hDJuYTDTNRyjBJhlIgeq.jpg
294,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97293&attachNo=78213
294,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97293&attachNo=78214
294,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97293&attachNo=78215
297,image,https://www.skku.edu/_attach/image/2022/05/XXRZvufInAntZAvjrfUS.jpg
298,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97091&attachNo=78381
300,image,https://www.skku.edu/_attach/image/2022/05/PohssaJYLjXMxEsCIyoa.png
301,image,https://www.skku.edu/_attach/image/2022/05/MKsOQPYWQoScUIXaSRkE.jpg
302,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97434&attachNo=78368
303,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97429&attachNo=78360
